what,kind,bundleId,bundleVersion,description,time
opened,editor,com.android.ide.eclipse.adt,21.0.0.v201210310015-519525,"com.android.ide.eclipse.editors.CommonXmlEditor",1455783273112
activated,editor,com.android.ide.eclipse.adt,21.0.0.v201210310015-519525,"com.android.ide.eclipse.editors.CommonXmlEditor",1455783273128
activated,editor,com.android.ide.eclipse.adt,21.0.0.v201210310015-519525,"com.android.ide.eclipse.editors.CommonXmlEditor",1455783278010
closed,editor,com.android.ide.eclipse.adt,21.0.0.v201210310015-519525,"com.android.ide.eclipse.editors.CommonXmlEditor",1455783278010
activated,editor,com.android.ide.eclipse.adt,21.0.0.v201210310015-519525,"com.android.ide.eclipse.editors.CommonXmlEditor",1455783279118
closed,editor,com.android.ide.eclipse.adt,21.0.0.v201210310015-519525,"com.android.ide.eclipse.editors.CommonXmlEditor",1455783279118
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1455783283392
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455783285732
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1455783289149
started,bundle,org.eclipse.wst.jsdt.core,1.1.8.v201109150205,"org.eclipse.wst.jsdt.core",1455783289383
started,bundle,org.eclipse.wst.jsdt.ui,1.1.7.v201109150205,"org.eclipse.wst.jsdt.ui",1455783289461
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455783289851
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1455783289913
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455783291161
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455783292066
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1455783292082
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455783297932
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455783307744
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1455783308774
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455783319866
